Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
1.592055	0.025887	0.039190	0.002612	50.000000	45.000000	0.060000	
1.592555	0.025887	0.039190	0.002612	50.000000	45.000000	0.060000	
1.593055	0.025814	0.039242	0.002517	50.000000	45.000000	0.060000	
1.593556	0.025814	0.039242	0.002517	50.000000	45.000000	0.060000	
1.594056	0.025778	0.039233	0.002478	50.000000	45.000000	0.060000	
1.594556	0.025778	0.039233	0.002478	50.000000	45.000000	0.060000	
1.595057	0.025778	0.039233	0.002478	50.000000	45.000000	0.060000	
1.595557	0.025741	0.039224	0.002439	50.000000	45.000000	0.060000	
1.596058	0.025741	0.039224	0.002439	50.000000	45.000000	0.060000	
1.596558	0.025705	0.039215	0.002399	50.000000	45.000000	0.060000	
1.597058	0.025705	0.039215	0.002399	50.000000	45.000000	0.060000	
1.597559	0.025705	0.039215	0.002399	50.000000	45.000000	0.060000	
1.598059	0.025669	0.039206	0.002360	50.000000	45.000000	0.060000	
1.598559	0.025669	0.039206	0.002360	50.000000	45.000000	0.060000	
1.599060	0.025596	0.039258	0.002265	50.000000	45.000000	0.060000	
1.599560	0.025596	0.039258	0.002265	50.000000	45.000000	0.060000	
1.600060	0.025596	0.039258	0.002265	50.000000	45.000000	0.060000	
1.600561	0.025560	0.039249	0.002225	50.000000	45.000000	0.060000	
1.601061	0.025560	0.039249	0.002225	50.000000	45.000000	0.060000	
1.601561	0.025524	0.039240	0.002185	50.000000	45.000000	0.060000	
1.602062	0.025524	0.039240	0.002185	50.000000	45.000000	0.060000	
1.602562	0.025524	0.039240	0.002185	50.000000	45.000000	0.060000	
1.603063	0.025488	0.039230	0.002146	50.000000	45.000000	0.060000	
1.603563	0.025488	0.039230	0.002146	50.000000	45.000000	0.060000	
1.604063	0.025452	0.039291	0.002090	50.000000	45.000000	0.060000	
1.604564	0.025452	0.039291	0.002090	50.000000	45.000000	0.060000	
1.605064	0.025452	0.039291	0.002090	50.000000	45.000000	0.060000	
1.605566	0.025380	0.039273	0.002011	50.000000	45.000000	0.060000	
1.606066	0.025344	0.039264	0.001972	50.000000	45.000000	0.060000	
1.606567	0.025344	0.039264	0.001972	50.000000	45.000000	0.060000	
1.607067	0.025344	0.039264	0.001972	50.000000	45.000000	0.060000	
1.607567	0.025344	0.039264	0.001972	50.000000	45.000000	0.060000	
1.608068	0.025307	0.039255	0.001932	50.000000	45.000000	0.060000	
1.608568	0.025307	0.039255	0.001932	50.000000	45.000000	0.060000	
1.609068	0.025307	0.039255	0.001932	50.000000	45.000000	0.060000	
1.609569	0.025307	0.039255	0.001932	50.000000	45.000000	0.060000	
1.610069	0.025199	0.039297	0.001797	50.000000	45.000000	0.060000	
1.610570	0.025199	0.039297	0.001797	50.000000	45.000000	0.060000	
1.611070	0.025199	0.039297	0.001797	50.000000	45.000000	0.060000	
1.611570	0.025199	0.039297	0.001797	50.000000	45.000000	0.060000	
1.612071	0.025199	0.039297	0.001797	50.000000	45.000000	0.060000	
1.612571	0.025163	0.039288	0.001757	50.000000	45.000000	0.060000	
1.613071	0.025163	0.039288	0.001757	50.000000	45.000000	0.060000	
1.613572	0.025163	0.039288	0.001757	50.000000	45.000000	0.060000	
1.614072	0.025091	0.039270	0.001678	50.000000	45.000000	0.060000	
1.614572	0.025091	0.039270	0.001678	50.000000	45.000000	0.060000	
1.615073	0.025055	0.039331	0.001622	50.000000	45.000000	0.060000	
1.615573	0.025055	0.039331	0.001622	50.000000	45.000000	0.060000	
1.616073	0.025019	0.039322	0.001582	50.000000	45.000000	0.060000	
1.616574	0.025019	0.039322	0.001582	50.000000	45.000000	0.060000	
1.617074	0.025019	0.039322	0.001582	50.000000	45.000000	0.060000	
1.617574	0.024948	0.039373	0.001487	50.000000	45.000000	0.060000	
1.618075	0.024948	0.039373	0.001487	50.000000	45.000000	0.060000	
1.618575	0.024912	0.039364	0.001447	50.000000	45.000000	0.060000	
1.619076	0.024912	0.039364	0.001447	50.000000	45.000000	0.060000	
1.619576	0.024912	0.039364	0.001447	50.000000	45.000000	0.060000	
1.620076	0.024912	0.039364	0.001447	50.000000	45.000000	0.060000	
1.620577	0.024912	0.039364	0.001447	50.000000	45.000000	0.060000	
1.621077	0.024804	0.039406	0.001311	50.000000	45.000000	0.060000	
1.621577	0.024804	0.039406	0.001311	50.000000	45.000000	0.060000	
1.622078	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.622578	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.623078	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.623579	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.624139	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.624639	0.024768	0.039397	0.001272	50.000000	45.000000	0.060000	
1.625139	0.024733	0.039457	0.001216	50.000000	45.000000	0.060000	
1.625640	0.024733	0.039457	0.001216	50.000000	45.000000	0.060000	
1.626140	0.024625	0.039429	0.001096	50.000000	45.000000	0.060000	
1.626640	0.024625	0.039429	0.001096	50.000000	45.000000	0.060000	
1.627141	0.024589	0.039490	0.001040	50.000000	45.000000	0.060000	
1.627641	0.024589	0.039490	0.001040	50.000000	45.000000	0.060000	
1.628141	0.024589	0.039490	0.001040	50.000000	45.000000	0.060000	
1.628642	0.024589	0.039490	0.001040	50.000000	45.000000	0.060000	
1.629142	0.024589	0.039490	0.001040	50.000000	45.000000	0.060000	
